provincia,periodo,anio,real,predicho,residuo,residuo_abs,riesgo_real,riesgo_pred
Coclé,2015-08,2015,3.470591305255467,3.286893915344583,0.18369738991088402,0.18369738991088402,bajo,bajo
Colón,2015-08,2015,10.397881540575872,10.258268755523432,0.13961278505244046,0.13961278505244046,critico,critico
Comarca Emberá,2015-08,2015,0.0,0.10622845226019617,-0.10622845226019617,0.10622845226019617,bajo,bajo
Comarca Kuna Yala,2015-08,2015,1.175827180749248,0.8606457348127803,0.3151814459364677,0.3151814459364677,bajo,bajo
Comarca Ngäbe Buglé,2015-08,2015,0.678361959245798,0.6281042063668383,0.05025775287895973,0.05025775287895973,bajo,bajo
Darién,2015-08,2015,2.2924074461409747,3.0498954652591257,-0.757488019118151,0.757488019118151,bajo,bajo
Herrera,2015-08,2015,2.954081724779257,3.0046859678161173,-0.050604243036860286,0.050604243036860286,bajo,bajo
Los Santos,2015-08,2015,1.6478853782242306,1.5117454757852151,0.13613990243901553,0.13613990243901553,bajo,bajo
Panamá,2015-08,2015,5.398679236786408,5.454886956215919,-0.056207719429511194,0.056207719429511194,bajo,bajo
Panamá Oeste,2015-08,2015,5.844064117052281,6.3312631111537065,-0.4871989941014254,0.4871989941014254,bajo,moderado
Veraguas,2015-08,2015,3.709055424716402,3.873975597439324,-0.16492017272292214,0.16492017272292214,bajo,bajo
Bocas del Toro,2016-03,2016,7.399999999999999,7.397877212833041,0.0021227871669573517,0.0021227871669573517,moderado,moderado
Chiriquí,2016-03,2016,5.0,4.832389936010624,0.16761006398937628,0.16761006398937628,bajo,bajo
Coclé,2016-03,2016,4.9,4.945117907205521,-0.04511790720552078,0.04511790720552078,bajo,bajo
Colón,2016-03,2016,8.799999999999999,9.211353040805509,-0.41135304080551016,0.41135304080551016,critico,critico
Comarca Emberá,2016-03,2016,0.0,1.1250907981871379,-1.1250907981871379,1.1250907981871379,bajo,bajo
Comarca Kuna Yala,2016-03,2016,0.4,1.2043382453252875,-0.8043382453252875,0.8043382453252875,bajo,bajo
Comarca Ngäbe Buglé,2016-03,2016,1.5,0.3305058780518779,1.169494121948122,1.169494121948122,bajo,bajo
Darién,2016-03,2016,2.3,2.500404170141404,-0.20040417014140433,0.20040417014140433,bajo,bajo
Herrera,2016-03,2016,3.7,3.8203682036182096,-0.12036820361820944,0.12036820361820944,bajo,bajo
Los Santos,2016-03,2016,1.7999999999999998,2.0002696663751602,-0.20026966637516042,0.20026966637516042,bajo,bajo
Panamá,2016-03,2016,6.2,5.709135335243855,0.49086466475614543,0.49086466475614543,moderado,bajo
Panamá Oeste,2016-03,2016,6.3,5.697996742678985,0.602003257321015,0.602003257321015,moderado,bajo
Veraguas,2016-03,2016,4.0,4.357015126617641,-0.35701512661764134,0.35701512661764134,bajo,bajo
Bocas del Toro,2016-08,2016,4.217725375902497,4.985997017613363,-0.7682716417108653,0.7682716417108653,bajo,bajo
Chiriquí,2016-08,2016,4.52791576396074,4.837151748827852,-0.30923598486711157,0.30923598486711157,bajo,bajo
Coclé,2016-08,2016,3.2178401817055544,3.4295417424050854,-0.21170156069953094,0.21170156069953094,bajo,bajo
Colón,2016-08,2016,9.350951067228111,9.602723385646833,-0.2517723184187215,0.2517723184187215,critico,critico
Comarca Emberá,2016-08,2016,0.4596644449551826,0.2639474591689517,0.19571698578623092,0.19571698578623092,bajo,bajo
Comarca Kuna Yala,2016-08,2016,0.3902710990312913,0.8187227016949739,-0.42845160266368254,0.42845160266368254,bajo,bajo
Comarca Ngäbe Buglé,2016-08,2016,0.4759949706191783,0.7334872749359511,-0.25749230431677284,0.25749230431677284,bajo,bajo
Darién,2016-08,2016,1.5173801966400866,3.0515696719762824,-1.5341894753361958,1.5341894753361958,bajo,bajo
Herrera,2016-08,2016,3.306350262438087,3.4822693995637426,-0.17591913712565566,0.17591913712565566,bajo,bajo
Los Santos,2016-08,2016,1.7885685381891756,1.7482741845985434,0.04029435359063216,0.04029435359063216,bajo,bajo
Panamá,2016-08,2016,6.701021690768943,7.680631033416995,-0.9796093426480521,0.9796093426480521,moderado,moderado
Panamá Oeste,2016-08,2016,6.5606132602862255,6.76467564937877,-0.20406238909254437,0.20406238909254437,moderado,moderado
Veraguas,2016-08,2016,2.80305515205473,3.0975230909998377,-0.2944679389451075,0.2944679389451075,bajo,bajo
Bocas del Toro,2017-03,2017,6.1,4.4349905492215305,1.6650094507784692,1.6650094507784692,moderado,bajo
Chiriquí,2017-03,2017,5.800000000000001,4.662419689693887,1.137580310306114,1.137580310306114,bajo,bajo
Coclé,2017-03,2017,4.9,2.9417027158891047,1.9582972841108957,1.9582972841108957,bajo,bajo
Colón,2017-03,2017,7.9,9.57511779142939,-1.6751177914293898,1.6751177914293898,moderado,critico
Comarca Emberá,2017-03,2017,0.7000000000000001,-0.07050253239836657,0.7705025323983666,0.7705025323983666,bajo,bajo
Comarca Kuna Yala,2017-03,2017,0.4,0.5459902688020342,-0.14599026880203414,0.14599026880203414,bajo,bajo
Comarca Ngäbe Buglé,2017-03,2017,0.8,0.27568707817834426,0.5243129218216558,0.5243129218216558,bajo,bajo
Darién,2017-03,2017,2.4,2.943218926571249,-0.543218926571249,0.543218926571249,bajo,bajo
Herrera,2017-03,2017,2.6,3.3841044425116786,-0.7841044425116785,0.7841044425116785,bajo,bajo
Los Santos,2017-03,2017,1.6,1.8274698575583979,-0.22746985755839777,0.22746985755839777,bajo,bajo
Panamá,2017-03,2017,6.3,7.885654302748102,-1.585654302748102,1.585654302748102,moderado,moderado
Panamá Oeste,2017-03,2017,6.2,6.9361492107865095,-0.7361492107865093,0.7361492107865093,moderado,moderado
Veraguas,2017-03,2017,4.3,2.8086982419856747,1.491301758014325,1.491301758014325,bajo,bajo
Bocas del Toro,2017-08,2017,7.186577939607005,7.016171332385215,0.17040660722179002,0.17040660722179002,moderado,moderado
Chiriquí,2017-08,2017,4.569874606761487,4.803841657492676,-0.23396705073118884,0.23396705073118884,bajo,bajo
Coclé,2017-08,2017,4.678249947665899,4.955736932279742,-0.27748698461384347,0.27748698461384347,bajo,bajo
Colón,2017-08,2017,9.59228613372481,9.989048667791248,-0.396762534066438,0.396762534066438,critico,critico
Comarca Emberá,2017-08,2017,0.4952947003467062,0.5043713238143521,-0.009076623467645928,0.009076623467645928,bajo,bajo
Comarca Kuna Yala,2017-08,2017,0.7580839930229437,0.47725859380974045,0.28082539921320326,0.28082539921320326,bajo,bajo
Comarca Ngäbe Buglé,2017-08,2017,0.1443224576052781,0.8178691371170577,-0.6735466795117796,0.6735466795117796,bajo,bajo
Darién,2017-08,2017,2.777450402671381,1.0589141059714375,1.7185362966999436,1.7185362966999436,bajo,bajo
Herrera,2017-08,2017,3.3741426358876025,3.3914808628389723,-0.017338226951369773,0.017338226951369773,bajo,bajo
Los Santos,2017-08,2017,1.9177901427346105,1.8327208644211703,0.08506927831344013,0.08506927831344013,bajo,bajo
Panamá,2017-08,2017,7.0734154788597055,7.077945210476093,-0.0045297316163877,0.0045297316163877,moderado,moderado
Panamá Oeste,2017-08,2017,7.756353925534352,7.556354157376788,0.19999976815756426,0.19999976815756426,moderado,moderado
Veraguas,2017-08,2017,3.63984492744007,3.7683992170185943,-0.1285542895785241,0.1285542895785241,bajo,bajo
Bocas del Toro,2018-08,2018,7.428854550521785,7.599767089217763,-0.170912538695978,0.170912538695978,moderado,moderado
Chiriquí,2018-08,2018,4.36206584370906,4.696789587382043,-0.3347237436729831,0.3347237436729831,bajo,bajo
Coclé,2018-08,2018,3.782716431779464,3.763381001187277,0.01933543059218712,0.01933543059218712,bajo,bajo
Colón,2018-08,2018,8.58619684350697,9.008777380997948,-0.4225805374909779,0.4225805374909779,critico,critico
Comarca Emberá,2018-08,2018,1.446987634832939,0.66689895077291,0.780088684060029,0.780088684060029,bajo,bajo
Comarca Kuna Yala,2018-08,2018,0.1699609719249653,0.477514904342244,-0.3075539324172787,0.3075539324172787,bajo,bajo
Comarca Ngäbe Buglé,2018-08,2018,0.7606539931311372,0.8330185672798383,-0.07236457414870101,0.07236457414870101,bajo,bajo
