provincia,periodo,anio,area,sexo,poblacion_15_mas,pea,ocupados,desocupados,tasa_desempleo,tasa_participacion,tasa_actividad_total,tasa_actividad_urbana,tasa_actividad_rural,pct_jovenes_pea,pct_mayores_pea,pct_sector_primario,pct_sector_secundario,pct_sector_terciario,pct_sin_educacion,pct_primaria,pct_secundaria,pct_universitaria,pct_subempleo,pct_microempresa,pct_empresa_grande,mediana_salario,empleo_informal_pct,pib_crecimiento,inflacion,indice_gini,gasto_educacion_pib,desempleo_juvenil_nacional,exportaciones_pib,pib_per_capita,poblacion_total_nacional
Panamá,2011-08,2011,rural,hombres,58473.0,48326.0,47006.0,1320.0,2.731448909489716,82.64669163545568,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,rural,mujeres,52073.0,16964.0,16247.0,717.0,4.226597500589484,32.57734334491963,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,rural,total,110546.0,65290.0,63253.0,2037.0,3.119926481850207,59.06138621026541,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,total,hombres,662106.0,524981.0,498336.0,26645.0,5.075421777169079,79.28956994801437,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,total,mujeres,730193.0,366969.0,347572.0,19397.0,5.285732582316218,50.25643905104541,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,total,total,1392299.0,891950.0,845908.0,46042.0,5.161948539716351,64.06310713431526,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,urbana,hombres,603633.0,476655.0,451330.0,25325.0,5.313067103040983,78.96437073519837,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,urbana,mujeres,678120.0,350005.0,331325.0,18680.0,5.337066613334096,51.6140211172064,,,,,,,,,,,,,,,,,,,,,,,,,
Panamá,2011-08,2011,urbana,total,1281753.0,826660.0,782655.0,44005.0,5.323228413132364,64.49448528694685,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,rural,hombres,58802.0,47264.0,46419.0,845.0,1.7878300609343263,80.37821842794463,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,rural,mujeres,49884.0,12562.0,12262.0,300.0,2.3881547524279574,25.18242322187475,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,rural,total,108686.0,59826.0,58681.0,1145.0,1.9138835957610405,55.044807978948526,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,total,hombres,85197.0,65263.0,63446.0,1817.0,2.7841196389991265,76.60246252802328,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,total,mujeres,81506.0,26305.0,25321.0,984.0,3.740733700817335,32.273697641891395,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,total,total,166703.0,91568.0,88767.0,2801.0,3.0589288834527344,54.928825516037506,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,urbana,hombres,26395.0,17999.0,17027.0,972.0,5.400300016667592,68.1909452547831,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,urbana,mujeres,31622.0,13743.0,13059.0,684.0,4.9770792403405375,43.460249193599395,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas,2011-08,2011,urbana,total,58017.0,31742.0,30086.0,1656.0,5.2170625669460025,54.71155006291259,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,rural,hombres,24030.0,18829.0,17604.0,1225.0,6.505921716501143,78.35622138992926,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,rural,mujeres,22642.0,8447.0,8058.0,389.0,4.605185272877945,37.30677501987457,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,rural,total,46672.0,27276.0,25662.0,1614.0,5.917289925208975,58.44189235515941,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,total,hombres,41601.0,31538.0,29230.0,2308.0,7.318155875451835,75.81067762794163,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,total,mujeres,42308.0,17802.0,16519.0,1283.0,7.207055387035164,42.077148529828875,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,total,total,83909.0,49340.0,45749.0,3591.0,7.278070531009323,58.8017971850457,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,urbana,hombres,17571.0,12709.0,11626.0,1083.0,8.521520182547802,72.32940640828637,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,urbana,mujeres,19666.0,9355.0,8461.0,894.0,9.556386958845538,47.569409132512966,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2012-08,2012,urbana,total,37237.0,22064.0,20087.0,1977.0,8.960297316896302,59.25289362730617,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,rural,hombres,69996.0,56254.0,54168.0,2086.0,3.7081807515909984,80.36744956854677,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,rural,mujeres,69953.0,23506.0,22122.0,1384.0,5.887858419127031,33.602561720012005,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,rural,total,139949.0,79760.0,76290.0,3470.0,4.350551654964894,56.992190012075824,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,total,hombres,146734.0,114353.0,109564.0,4789.0,4.187909368359379,77.93217659165565,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,total,mujeres,159860.0,63881.0,59780.0,4101.0,6.419749221208184,39.96059051670212,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,total,total,306594.0,178234.0,169344.0,8890.0,4.987824994108868,58.1335577343327,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,urbana,hombres,76738.0,58099.0,55396.0,2703.0,4.652403655828844,75.71086032995386,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,urbana,mujeres,89907.0,40375.0,37658.0,2717.0,6.729411764705882,44.90751554383974,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2012-08,2012,urbana,total,166645.0,98474.0,93054.0,5420.0,5.503990901151573,59.09208197065618,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,rural,hombres,57266.0,48064.0,47651.0,413.0,0.8592709720372836,83.93112841825865,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,rural,mujeres,51380.0,24090.0,23665.0,425.0,1.7642175176421753,46.88594783962631,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,rural,total,108646.0,72154.0,71316.0,838.0,1.161404773124151,66.41201700936989,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,total,hombres,86554.0,70506.0,69558.0,948.0,1.3445664198791591,81.4589735887423,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,total,mujeres,87297.0,41663.0,40379.0,1284.0,3.0818712046660104,47.725580489593,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,total,total,173851.0,112169.0,109937.0,2232.0,1.9898545944066544,64.52019257870245,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,urbana,hombres,29288.0,22442.0,21907.0,535.0,2.3839230015150163,76.62523900573613,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,urbana,mujeres,35917.0,17573.0,16714.0,859.0,4.888180731804473,48.926692095665004,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2012-08,2012,urbana,total,65205.0,40015.0,38621.0,1394.0,3.4836936148944146,61.36799325205122,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,rural,hombres,26230.0,22315.0,21822.0,493.0,2.2092762715662113,85.07434235608082,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,rural,mujeres,23556.0,8727.0,8321.0,406.0,4.652228715480692,37.047885888945494,,,,,,,,,,,,,,,,,,,,,,,,,
